Month,City,Company,Total Monthly Hours,TariffRate
September,Dahej,Reliance Energy,1328.04,7.6
May,Dahej,Indowind Energy,1696.8,7.6
August,Dahej,Tata Power Company Ltd.,2066.4,7.6
December,Dahej,Tata Power Company Ltd.,737.52,7.6
October,Dahej,Orient Green,844.2,7.6
April,Dahej,Tata Power Company Ltd.,1411.2,7.6
June,Dahej,Indowind Energy,3792.6,7.6
February,Dahej,Tata Power Company Ltd.,384.72,7.6
August,Dahej,Adani Power Ltd.,1694.7,7.6
October,Dahej,Tata Power Company Ltd.,1268.4,7.6
June,Dahej,Indowind Energy,2028.6,7.6
June,Dahej,Adani Power Ltd.,3735.9,7.6
February,Dahej,Tata Power Company Ltd.,1130.64,7.6
November,Dahej,Orient Green,1034.88,7.6
January,Dahej,Orient Green,739.2,7.6
November,Dahej,Indowind Energy,596.4,7.6
September,Dahej,Adani Power Ltd.,965.16,7.6
May,Dahej,Adani Power Ltd.,2738.4,7.6
February,Dahej,Tata Power Company Ltd.,1001.28,7.6
September,Dahej,Adani Power Ltd.,1176.84,7.6
August,Dahej,Tata Power Company Ltd.,1307.25,7.6
June,Dahej,Orient Green,4863.6,7.6
December,Dahej,Adani Power Ltd.,824.88,7.6
February,Dahej,Tata Power Company Ltd.,633.36,7.6
September,Dahej,Adani Power Ltd.,556.92,7.6
February,Dahej,Reliance Energy,856.8,7.6
March,Dahej,Tata Power Company Ltd.,1249.5,7.6
August,Faridabad,Reliance Energy,597,8.1
July,Faridabad,Reliance Energy,1641,8.1
January,Faridabad,Reliance Energy,508.8,8.1
September,Faridabad,Indowind Energy,566.4,8.1
August,Faridabad,Indowind Energy,760.5,8.1
August,Faridabad,Indowind Energy,855,8.1
December,Faridabad,Orient Green,444.8,8.1
February,Faridabad,Tata Power Company Ltd.,335.2,8.1
April,Faridabad,Adani Power Ltd.,726,8.1
September,Faridabad,Adani Power Ltd.,882,8.1
January,Faridabad,Indowind Energy,359.2,8.1
April,Faridabad,Adani Power Ltd.,696,8.1
November,Faridabad,Orient Green,584.8,8.1
July,Faridabad,Orient Green,1218,8.1
October,Faridabad,Reliance Energy,589,8.1
September,Faridabad,Tata Power Company Ltd.,468,8.1
November,Faridabad,Orient Green,472.8,8.1
December,Faridabad,Orient Green,489.6,8.1
October,Faridabad,Indowind Energy,554,8.1
July,Faridabad,Orient Green,1611,8.1
November,Faridabad,Adani Power Ltd.,368,8.1
July,Faridabad,Adani Power Ltd.,1614,8.1
August,Faridabad,Indowind Energy,718.5,8.1
June,Faridabad,Adani Power Ltd.,1770,8.1
February,Faridabad,Reliance Energy,417.6,8.1
May,Faridabad,Orient Green,1670,8.1
May,Faridabad,Tata Power Company Ltd.,1006,8.1
December,Faridabad,Adani Power Ltd.,421.6,8.1
January,Faridabad,Indowind Energy,382.4,8.1
December,Faridabad,Tata Power Company Ltd.,387.2,8.1
July,Faridabad,Adani Power Ltd.,1308,8.1
February,Faridabad,Reliance Energy,412,8.1
November,Faridabad,Indowind Energy,359.2,8.1
November,Faridabad,Adani Power Ltd.,456.8,8.1
March,Faridabad,Tata Power Company Ltd.,451,8.1
February,Faridabad,Adani Power Ltd.,293.6,8.1
March,Faridabad,Adani Power Ltd.,666,8.1
May,Faridabad,Orient Green,706,8.1
May,Faridabad,Adani Power Ltd.,1308,8.1
September,Faridabad,Orient Green,564,8.1
June,Faridabad,Reliance Energy,1425,8.1
April,Faridabad,Indowind Energy,778.5,8.1
January,Faridabad,Adani Power Ltd.,588,8.1
September,Faridabad,Tata Power Company Ltd.,682.8,8.1
May,Faridabad,Reliance Energy,870,8.1
September,Faridabad,Tata Power Company Ltd.,646.8,8.1
May,Faridabad,Indowind Energy,1072,8.1
November,Faridabad,Tata Power Company Ltd.,354.4,8.1
December,Faridabad,Reliance Energy,557.6,8.1
January,Faridabad,Tata Power Company Ltd.,299.2,8.1
December,Faridabad,Orient Green,470.4,8.1
May,Faridabad,Adani Power Ltd.,988,8.1
December,Faridabad,Adani Power Ltd.,344,8.1
January,Faridabad,Adani Power Ltd.,537.6,8.1
January,Faridabad,Tata Power Company Ltd.,428.8,8.1
December,Faridabad,Indowind Energy,496,8.1
December,Faridabad,Orient Green,458.4,8.1
June,Faridabad,Indowind Energy,1503,8.1
October,Faridabad,Orient Green,377,8.1
January,Faridabad,Indowind Energy,452,8.1
August,Faridabad,Tata Power Company Ltd.,699,8.1
November,Faridabad,Tata Power Company Ltd.,282.4,8.1
August,Faridabad,Reliance Energy,970.5,8.1
October,Faridabad,Orient Green,473,8.1
November,Faridabad,Orient Green,459.2,8.1
September,Faridabad,Orient Green,828,8.1
February,Faridabad,Reliance Energy,444.8,8.1
October,Faridabad,Tata Power Company Ltd.,379,8.1
January,Faridabad,Orient Green,408.8,8.1
April,Faridabad,Orient Green,781.5,8.1
April,Faridabad,Indowind Energy,952.5,8.1
January,Faridabad,Indowind Energy,425.6,8.1
October,Faridabad,Adani Power Ltd.,534,8.1
February,Faridabad,Tata Power Company Ltd.,508,8.1
June,Faridabad,Indowind Energy,810,8.1
June,Faridabad,Indowind Energy,1365,8.1
December,Faridabad,Reliance Energy,268.8,8.1
September,Faridabad,Reliance Energy,396,8.1
October,Faridabad,Tata Power Company Ltd.,632,8.1
September,Faridabad,Reliance Energy,344.4,8.1
August,Faridabad,Indowind Energy,813,8.1
April,Faridabad,Tata Power Company Ltd.,742.5,8.1
February,Faridabad,Adani Power Ltd.,337.6,8.1
November,Faridabad,Reliance Energy,328,8.1
October,Faridabad,Adani Power Ltd.,431,8.1
September,Faridabad,Tata Power Company Ltd.,591.6,8.1
May,Faridabad,Reliance Energy,1104,8.1
April,Faridabad,Adani Power Ltd.,534,8.1
March,Faridabad,Indowind Energy,580,8.1
July,Faridabad,Adani Power Ltd.,1728,8.1
September,Faridabad,Tata Power Company Ltd.,547.2,8.1
September,Faridabad,Reliance Energy,757.2,8.1
October,Faridabad,Indowind Energy,331,8.1
September,Faridabad,Tata Power Company Ltd.,895.2,8.1
September,Faridabad,Adani Power Ltd.,741.6,8.1
February,Faridabad,Tata Power Company Ltd.,418.4,8.1
March,Faridabad,Indowind Energy,374,8.1
April,Faridabad,Reliance Energy,663,8.1
September,Faridabad,Adani Power Ltd.,816,8.1
November,Faridabad,Reliance Energy,522.4,8.1
July,Faridabad,Adani Power Ltd.,1809,8.1
April,Faridabad,Adani Power Ltd.,1147.5,8.1
June,Faridabad,Adani Power Ltd.,1689,8.1
January,Faridabad,Orient Green,502.4,8.1
September,Faridabad,Reliance Energy,680.4,8.1
April,Faridabad,Orient Green,843,8.1
April,Faridabad,Indowind Energy,859.5,8.1
December,Faridabad,Reliance Energy,361.6,8.1
August,Faridabad,Orient Green,450,8.1
April,Faridabad,Adani Power Ltd.,931.5,8.1
January,Faridabad,Adani Power Ltd.,473.6,8.1
April,Faridabad,Indowind Energy,885,8.1
February,Faridabad,Indowind Energy,325.6,8.1
June,Faridabad,Tata Power Company Ltd.,1533,8.1
June,Faridabad,Adani Power Ltd.,957,8.1
July,Faridabad,Reliance Energy,1425,8.1
November,Faridabad,Adani Power Ltd.,394.4,8.1
December,Faridabad,Reliance Energy,583.2,8.1
November,Faridabad,Orient Green,440.8,8.1
November,Faridabad,Adani Power Ltd.,279.2,8.1
December,Faridabad,Orient Green,378.4,8.1
October,Faridabad,Indowind Energy,587,8.1
February,Faridabad,Indowind Energy,505.6,8.1
November,Faridabad,Tata Power Company Ltd.,404.8,8.1
June,Faridabad,Adani Power Ltd.,1902,8.1
October,Faridabad,Reliance Energy,742,8.1
December,Faridabad,Indowind Energy,396,8.1
May,Faridabad,Orient Green,1280,8.1
September,Faridabad,Reliance Energy,675.6,8.1
November,Faridabad,Adani Power Ltd.,1073.6,8.1
August,Faridabad,Orient Green,2217,8.1
December,Faridabad,Tata Power Company Ltd.,734.4,8.1
January,Faridabad,Indowind Energy,630.4,8.1
September,Faridabad,Reliance Energy,1324.8,8.1
October,Faridabad,Tata Power Company Ltd.,806,8.1
December,Faridabad,Orient Green,723.2,8.1
April,Faridabad,Reliance Energy,1524,8.1
November,Faridabad,Orient Green,918.4,8.1
May,Faridabad,Adani Power Ltd.,1260,8.1
May,Faridabad,Tata Power Company Ltd.,1144,8.1
February,Faridabad,Indowind Energy,828.8,8.1
April,Faridabad,Orient Green,1461,8.1
September,Faridabad,Reliance Energy,1425.6,8.1
May,Faridabad,Tata Power Company Ltd.,1572,8.1
March,Faridabad,Orient Green,902,8.1
February,Faridabad,Orient Green,595.2,8.1
September,Faridabad,Reliance Energy,1293.6,8.1
October,Faridabad,Indowind Energy,1204,8.1
June,Faridabad,Tata Power Company Ltd.,3360,8.1
February,Faridabad,Reliance Energy,408,8.1
October,Faridabad,Indowind Energy,1310,8.1
November,Faridabad,Reliance Energy,825.6,8.1
February,Faridabad,Reliance Energy,1024,8.1
May,Faridabad,Adani Power Ltd.,2280,8.1
June,Faridabad,Tata Power Company Ltd.,2886,8.1
January,Faridabad,Reliance Energy,899.2,8.1
May,Faridabad,Tata Power Company Ltd.,2928,8.1
November,Faridabad,Tata Power Company Ltd.,950.4,8.1
June,Faridabad,Orient Green,3330,8.1
March,Faridabad,Indowind Energy,758,8.1
June,Faridabad,Reliance Energy,3024,8.1
February,Faridabad,Tata Power Company Ltd.,859.2,8.1
November,Faridabad,Tata Power Company Ltd.,1011.2,8.1
August,Faridabad,Reliance Energy,1674,8.1
July,Faridabad,Adani Power Ltd.,3684,8.1
April,Faridabad,Reliance Energy,1413,8.1
August,Faridabad,Indowind Energy,1062,8.1
March,Faridabad,Adani Power Ltd.,742,8.1
August,Faridabad,Tata Power Company Ltd.,2226,8.1
August,Faridabad,Adani Power Ltd.,1437,8.1
November,Faridabad,Indowind Energy,1008,8.1
April,Faridabad,Indowind Energy,2016,8.1
April,Faridabad,Indowind Energy,1500,8.1
June,Faridabad,Indowind Energy,2490,8.1
March,Faridabad,Indowind Energy,858,8.1
January,Faridabad,Adani Power Ltd.,984,8.1
August,Faridabad,Orient Green,1068,8.1
October,Faridabad,Tata Power Company Ltd.,748,8.1
July,Faridabad,Tata Power Company Ltd.,3270,8.1
March,Faridabad,Orient Green,814,8.1
December,Faridabad,Reliance Energy,611.2,8.1
August,Faridabad,Indowind Energy,1638,8.1
March,Faridabad,Reliance Energy,1052,8.1
January,Faridabad,Reliance Energy,1179.2,8.1
March,Faridabad,Adani Power Ltd.,878,8.1
September,Faridabad,Reliance Energy,1620,8.1
February,Faridabad,Reliance Energy,299.2,8.1
May,Faridabad,Tata Power Company Ltd.,1804,8.1
November,Faridabad,Adani Power Ltd.,804.8,8.1
June,Faridabad,Indowind Energy,3714,8.1
January,Faridabad,Orient Green,614.4,8.1
December,Faridabad,Tata Power Company Ltd.,408,8.1
May,Faridabad,Orient Green,2164,8.1
August,Faridabad,Reliance Energy,1437,8.1
May,Faridabad,Adani Power Ltd.,2820,8.1
October,Faridabad,Indowind Energy,1056,8.1
June,Faridabad,Reliance Energy,2814,8.1
April,Faridabad,Indowind Energy,1326,8.1
January,Faridabad,Adani Power Ltd.,796.8,8.1
March,Faridabad,Orient Green,1132,8.1
November,Faridabad,Tata Power Company Ltd.,742.4,8.1
May,Faridabad,Adani Power Ltd.,2032,8.1
September,Faridabad,Indowind Energy,1008,8.1
February,Faridabad,Adani Power Ltd.,616,8.1
August,Faridabad,Reliance Energy,1428,8.1
March,Faridabad,Indowind Energy,1124,8.1
July,Faridabad,Reliance Energy,3594,8.1
January,Faridabad,Indowind Energy,707.2,8.1
May,Faridabad,Tata Power Company Ltd.,1812,8.1
January,Faridabad,Indowind Energy,1068.8,8.1
December,Faridabad,Tata Power Company Ltd.,1056,8.1
February,Faridabad,Orient Green,649.6,8.1
June,Faridabad,Indowind Energy,3324,8.1
November,Faridabad,Reliance Energy,764.8,8.1
February,Faridabad,Reliance Energy,985.6,8.1
December,Faridabad,Indowind Energy,787.2,8.1
July,Faridabad,Tata Power Company Ltd.,2946,8.1
July,Faridabad,Adani Power Ltd.,4140,8.1
October,Faridabad,Reliance Energy,1298,8.1
September,Faridabad,Tata Power Company Ltd.,1056,8.1
June,Faridabad,Tata Power Company Ltd.,3990,8.1
October,Faridabad,Orient Green,1018,8.1
March,Faridabad,Indowind Energy,1720,8.1
June,Faridabad,Orient Green,2580,8.1
April,Faridabad,Adani Power Ltd.,1347,8.1
December,Faridabad,Indowind Energy,768,8.1
April,Faridabad,Tata Power Company Ltd.,1263,8.1
August,Faridabad,Adani Power Ltd.,1287,8.1
July,Faridabad,Indowind Energy,3204,8.1
August,Faridabad,Adani Power Ltd.,1590,8.1
September,Faridabad,Tata Power Company Ltd.,1680,8.1
July,Faridabad,Tata Power Company Ltd.,4596,8.1
January,Faridabad,Tata Power Company Ltd.,488,8.1
November,Faridabad,Indowind Energy,550.4,8.1
December,Faridabad,Adani Power Ltd.,345.6,8.1
September,Faridabad,Reliance Energy,1624.8,8.1
August,Faridabad,Orient Green,1260,8.1
October,Faridabad,Tata Power Company Ltd.,1192,8.1
August,Faridabad,Tata Power Company Ltd.,1659,8.1
October,Faridabad,Orient Green,876,8.1
October,Faridabad,Reliance Energy,986,8.1
February,Faridabad,Orient Green,875.2,8.1
November,Faridabad,Tata Power Company Ltd.,686.4,8.1
September,Faridabad,Tata Power Company Ltd.,1684.8,8.1
July,Faridabad,Tata Power Company Ltd.,2628,8.1
December,Faridabad,Indowind Energy,1209.6,8.1
April,Faridabad,Orient Green,909,8.1
October,Faridabad,Indowind Energy,1388,8.1
December,Faridabad,Tata Power Company Ltd.,948.8,8.1
July,Faridabad,Tata Power Company Ltd.,4278,8.1
January,Faridabad,Adani Power Ltd.,844.8,8.1
November,Faridabad,Orient Green,1011.2,8.1
April,Faridabad,Orient Green,1419,8.1
June,Faridabad,Adani Power Ltd.,2292,8.1
August,Faridabad,Indowind Energy,1977,8.1
April,Faridabad,Reliance Energy,1653,8.1
August,Faridabad,Indowind Energy,1452,8.1
February,Faridabad,Orient Green,1209.6,8.1
March,Faridabad,Reliance Energy,850,8.1
April,Faridabad,Indowind Energy,774,8.1
December,Faridabad,Indowind Energy,900.8,8.1
November,Faridabad,Adani Power Ltd.,852.8,8.1
February,Faridabad,Indowind Energy,1001.6,8.1
October,Faridabad,Orient Green,974,8.1
May,Faridabad,Indowind Energy,2048,8.1
April,Faridabad,Reliance Energy,1338,8.1
August,Faridabad,Orient Green,2037,8.1
October,Faridabad,Adani Power Ltd.,1230,8.1
May,Faridabad,Tata Power Company Ltd.,2068,8.1
September,Faridabad,Tata Power Company Ltd.,811.2,8.1
May,Faridabad,Adani Power Ltd.,2924,8.1
July,Faridabad,Orient Green,3936,8.1
June,Faridabad,Orient Green,3342,8.1
November,Faridabad,Indowind Energy,756.8,8.1
September,Faridabad,Tata Power Company Ltd.,1375.2,8.1
January,Faridabad,Orient Green,521.6,8.1
August,Faridabad,Orient Green,1443,8.1
May,Faridabad,Indowind Energy,1940,8.1
August,Faridabad,Adani Power Ltd.,1590,8.1
July,Faridabad,Reliance Energy,3426,8.1
January,Faridabad,Orient Green,912,8.1
February,Faridabad,Orient Green,654.4,8.1
January,Faridabad,Indowind Energy,854.4,8.1
June,Faridabad,Reliance Energy,3066,8.1
November,Faridabad,Orient Green,817.6,8.1
March,Faridabad,Tata Power Company Ltd.,718,8.1
August,Faridabad,Adani Power Ltd.,1545,8.1
August,Faridabad,Adani Power Ltd.,1380,8.1
January,Faridabad,Reliance Energy,707.2,8.1
December,Faridabad,Indowind Energy,844.8,8.1
July,Faridabad,Tata Power Company Ltd.,3390,8.1
December,Faridabad,Orient Green,886.4,8.1
January,Faridabad,Orient Green,881.6,8.1
March,Faridabad,Tata Power Company Ltd.,1070,8.1
April,Faridabad,Indowind Energy,2244,8.1
April,Faridabad,Indowind Energy,1434,8.1
March,Faridabad,Indowind Energy,790,8.1
December,Faridabad,Indowind Energy,939.2,8.1
May,Faridabad,Adani Power Ltd.,3532,8.1
October,Faridabad,Indowind Energy,642,8.1
April,Faridabad,Tata Power Company Ltd.,1260,8.1
March,Faridabad,Orient Green,1274,8.1
January,Faridabad,Indowind Energy,876.8,8.1
April,Faridabad,Orient Green,1488,8.1
May,Faridabad,Tata Power Company Ltd.,2532,8.1
July,Faridabad,Indowind Energy,3510,8.1
July,Faridabad,Reliance Energy,4236,8.1
April,Faridabad,Reliance Energy,771,8.1
February,Faridabad,Orient Green,980.8,8.1
September,Faridabad,Indowind Energy,1190.4,8.1
March,Faridabad,Reliance Energy,1136,8.1
March,Faridabad,Reliance Energy,810,8.1
April,Faridabad,Adani Power Ltd.,939,8.1
October,Faridabad,Tata Power Company Ltd.,1220,8.1
May,Faridabad,Tata Power Company Ltd.,2212,8.1
October,Faridabad,Reliance Energy,822,8.1
October,Faridabad,Orient Green,928,8.1
November,Faridabad,Indowind Energy,820.8,8.1
January,Faridabad,Indowind Energy,998.4,8.1
July,Faridabad,Indowind Energy,2802,8.1
June,Faridabad,Tata Power Company Ltd.,3816,8.1
December,Faridabad,Adani Power Ltd.,500.8,8.1
December,Faridabad,Tata Power Company Ltd.,1124.8,8.1
June,Faridabad,Reliance Energy,3426,8.1
May,Faridabad,Tata Power Company Ltd.,2028,8.1
July,Faridabad,Indowind Energy,3810,8.1
January,Faridabad,Reliance Energy,704,8.1
January,Faridabad,Indowind Energy,809.6,8.1
January,Faridabad,Reliance Energy,484.8,8.1
November,Faridabad,Reliance Energy,590.4,8.1
February,Faridabad,Adani Power Ltd.,926.4,8.1
November,Faridabad,Reliance Energy,641.6,8.1
November,Faridabad,Orient Green,800,8.1
November,Faridabad,Orient Green,664,8.1
March,Faridabad,Reliance Energy,1092,8.1
January,Faridabad,Reliance Energy,640,8.1
February,Faridabad,Tata Power Company Ltd.,774.4,8.1
April,Faridabad,Tata Power Company Ltd.,2223,8.1
September,Faridabad,Orient Green,1296,8.1
January,Faridabad,Adani Power Ltd.,804.8,8.1
October,Faridabad,Adani Power Ltd.,1494,8.1
March,Faridabad,Orient Green,1224,8.1
June,Faridabad,Orient Green,1596,8.1
April,Faridabad,Indowind Energy,1851,8.1
April,Faridabad,Reliance Energy,1605,8.1
July,Faridabad,Orient Green,3138,8.1
February,Faridabad,Indowind Energy,915.2,8.1
March,Faridabad,Orient Green,1152,8.1
May,Faridabad,Tata Power Company Ltd.,2192,8.1
October,Faridabad,Tata Power Company Ltd.,780,8.1
April,Faridabad,Tata Power Company Ltd.,1353,8.1
June,Faridabad,Orient Green,1752,8.1
October,Faridabad,Adani Power Ltd.,660,8.1
February,Faridabad,Orient Green,745.6,8.1
November,Faridabad,Tata Power Company Ltd.,689.6,8.1
November,Faridabad,Tata Power Company Ltd.,1033.6,8.1
October,Faridabad,Tata Power Company Ltd.,984,8.1
May,Faridabad,Indowind Energy,1652,8.1
September,Faridabad,Indowind Energy,1106.4,8.1
April,Faridabad,Orient Green,1986,8.1
April,Faridabad,Indowind Energy,1431,8.1
January,Faridabad,Orient Green,947.2,8.1
January,Faridabad,Reliance Energy,832,8.1
January,Faridabad,Orient Green,924.8,8.1
August,Faridabad,Indowind Energy,1401,8.1
June,Faridabad,Orient Green,2520,8.1
March,Faridabad,Orient Green,1126,8.1
July,Faridabad,Reliance Energy,2970,8.1
November,Faridabad,Orient Green,734.4,8.1
September,Faridabad,Orient Green,1308,8.1
July,Faridabad,Tata Power Company Ltd.,4032,8.1
November,Faridabad,Indowind Energy,648,8.1
August,Faridabad,Reliance Energy,1104,8.1
September,Faridabad,Orient Green,619.2,8.1
February,Faridabad,Tata Power Company Ltd.,532.8,8.1
April,Faridabad,Indowind Energy,1278,8.1
February,Faridabad,Indowind Energy,1145.6,8.1
August,Faridabad,Indowind Energy,1185,8.1
June,Faridabad,Reliance Energy,2202,8.1
January,Faridabad,Tata Power Company Ltd.,459.2,8.1
February,Faridabad,Orient Green,734.4,8.1
March,Faridabad,Reliance Energy,1034,8.1
February,Faridabad,Orient Green,900.8,8.1
October,Faridabad,Tata Power Company Ltd.,966,8.1
November,Faridabad,Indowind Energy,905.6,8.1
February,Faridabad,Tata Power Company Ltd.,515.2,8.1
January,Faridabad,Reliance Energy,848,8.1
January,Faridabad,Reliance Energy,417.6,8.1
May,Faridabad,Adani Power Ltd.,1312,8.1
September,Faridabad,Adani Power Ltd.,1528.8,8.1
May,Faridabad,Adani Power Ltd.,1616,8.1
December,Faridabad,Indowind Energy,865.6,8.1
November,Faridabad,Adani Power Ltd.,1128,8.1
December,Faridabad,Adani Power Ltd.,734.4,8.1
November,Faridabad,Adani Power Ltd.,628.8,8.1
July,Faridabad,Tata Power Company Ltd.,3654,8.1
September,Faridabad,Orient Green,1147.2,8.1
August,Faridabad,Tata Power Company Ltd.,1389,8.1
October,Faridabad,Tata Power Company Ltd.,950,8.1
August,Faridabad,Orient Green,1404,8.1
April,Faridabad,Orient Green,1299,8.1
September,Faridabad,Tata Power Company Ltd.,921.6,8.1
March,Faridabad,Adani Power Ltd.,1468,8.1
August,Faridabad,Indowind Energy,1635,8.1
November,Faridabad,Adani Power Ltd.,694.4,8.1
March,Faridabad,Tata Power Company Ltd.,1228,8.1
September,Faridabad,Orient Green,1012.8,8.1
September,Faridabad,Adani Power Ltd.,1701.6,8.1
May,Faridabad,Tata Power Company Ltd.,2556,8.1
October,Faridabad,Adani Power Ltd.,1082,8.1
September,Faridabad,Adani Power Ltd.,948,8.1
November,Faridabad,Reliance Energy,659.2,8.1
May,Faridabad,Indowind Energy,1728,8.1
June,Faridabad,Indowind Energy,4266,8.1
May,Faridabad,Indowind Energy,1972,8.1
February,Faridabad,Indowind Energy,644.8,8.1
September,Faridabad,Orient Green,1742.4,8.1
August,Faridabad,Orient Green,1302,8.1
November,Faridabad,Orient Green,628.8,8.1
March,Faridabad,Reliance Energy,982,8.1
September,Faridabad,Reliance Energy,1024.8,8.1
March,Faridabad,Adani Power Ltd.,1236,8.1
October,Faridabad,Tata Power Company Ltd.,1108,8.1
October,Faridabad,Reliance Energy,700,8.1
June,Gurgaon,Indowind Energy,1184.7,8.3
November,Gurgaon,Adani Power Ltd.,463.76,8.3
August,Gurgaon,Reliance Energy,927.3,8.3
September,Gurgaon,Tata Power Company Ltd.,574.2,8.3
May,Gurgaon,Orient Green,1456.4,8.3
May,Gurgaon,Adani Power Ltd.,1064.8,8.3
August,Gurgaon,Orient Green,587.4,8.3
December,Gurgaon,Indowind Energy,374,8.3
April,Gurgaon,Tata Power Company Ltd.,790.35,8.3
November,Gurgaon,Indowind Energy,517.44,8.3
November,Gurgaon,Tata Power Company Ltd.,409.2,8.3
July,Gurgaon,Orient Green,1970.1,8.3
June,Gurgaon,Tata Power Company Ltd.,1491.6,8.3
September,Gurgaon,Orient Green,863.28,8.3
January,Gurgaon,Tata Power Company Ltd.,538.56,8.3
July,Gurgaon,Reliance Energy,2039.4,8.3
July,Gurgaon,Orient Green,1815,8.3
May,Gurgaon,Indowind Energy,1194.6,8.3
November,Gurgaon,Orient Green,238.48,8.3
July,Gurgaon,Adani Power Ltd.,1148.4,8.3
June,Gurgaon,Indowind Energy,1920.6,8.3
March,Gurgaon,Adani Power Ltd.,561,8.3
May,Gurgaon,Adani Power Ltd.,1471.8,8.3
May,Gurgaon,Orient Green,1238.6,8.3
July,Gurgaon,Orient Green,1712.7,8.3
May,Gurgaon,Indowind Energy,682,8.3
June,Gurgaon,Reliance Energy,2016.3,8.3
June,Gurgaon,Orient Green,1689.6,8.3
June,Gurgaon,Tata Power Company Ltd.,1788.6,8.3
December,Gurgaon,Adani Power Ltd.,332.64,8.3
December,Gurgaon,Reliance Energy,522.72,8.3
December,Gurgaon,Reliance Energy,475.2,8.3
July,Gurgaon,Adani Power Ltd.,1445.4,8.3
June,Gurgaon,Indowind Energy,1155,8.3
July,Gurgaon,Reliance Energy,1577.4,8.3
November,Gurgaon,Adani Power Ltd.,367.84,8.3
August,Gurgaon,Orient Green,836.55,8.3
February,Gurgaon,Orient Green,444.4,8.3
May,Gurgaon,Indowind Energy,937.2,8.3
August,Gurgaon,Reliance Energy,1054.35,8.3
January,Gurgaon,Reliance Energy,507.76,8.3
March,Gurgaon,Reliance Energy,533.5,8.3
November,Gurgaon,Tata Power Company Ltd.,308,8.3
April,Gurgaon,Tata Power Company Ltd.,584.1,8.3
September,Gurgaon,Reliance Energy,807.84,8.3
September,Gurgaon,Adani Power Ltd.,443.52,8.3
August,Gurgaon,Orient Green,932.25,8.3
January,Gurgaon,Reliance Energy,546.48,8.3
February,Gurgaon,Adani Power Ltd.,548.24,8.3
May,Gurgaon,Orient Green,1238.6,8.3
November,Gurgaon,Orient Green,602.8,8.3
March,Gurgaon,Tata Power Company Ltd.,734.8,8.3
June,Gurgaon,Reliance Energy,1999.8,8.3
April,Gurgaon,Orient Green,574.2,8.3
November,Gurgaon,Adani Power Ltd.,292.16,8.3
February,Gurgaon,Orient Green,386.32,8.3
June,Gurgaon,Adani Power Ltd.,1481.7,8.3
December,Gurgaon,Adani Power Ltd.,389.84,8.3
August,Gurgaon,Indowind Energy,1791.9,8.3
September,Gurgaon,Tata Power Company Ltd.,542.52,8.3
May,Gurgaon,Indowind Energy,1258.4,8.3
April,Gurgaon,Reliance Energy,1062.6,8.3
August,Gurgaon,Reliance Energy,917.4,8.3
March,Gurgaon,Tata Power Company Ltd.,477.4,8.3
April,Gurgaon,Tata Power Company Ltd.,877.8,8.3
April,Gurgaon,Orient Green,556.05,8.3
December,Gurgaon,Adani Power Ltd.,400.4,8.3
March,Gurgaon,Orient Green,700.7,8.3
September,Gurgaon,Reliance Energy,679.8,8.3
July,Gurgaon,Adani Power Ltd.,1254,8.3
March,Gurgaon,Adani Power Ltd.,541.2,8.3
June,Gurgaon,Adani Power Ltd.,1722.6,8.3
December,Gurgaon,Orient Green,586.08,8.3
October,Gurgaon,Tata Power Company Ltd.,684.2,8.3
July,Gurgaon,Orient Green,1683,8.3
May,Gurgaon,Adani Power Ltd.,662.2,8.3
October,Gurgaon,Indowind Energy,723.8,8.3
April,Gurgaon,Orient Green,1105.5,8.3
February,Gurgaon,Tata Power Company Ltd.,494.56,8.3
January,Gurgaon,Tata Power Company Ltd.,550.88,8.3
February,Gurgaon,Indowind Energy,438.24,8.3
June,Gurgaon,Reliance Energy,1346.4,8.3
September,Gurgaon,Indowind Energy,601.92,8.3
May,Gurgaon,Orient Green,1053.8,8.3
February,Gurgaon,Orient Green,388.96,8.3
September,Gurgaon,Orient Green,682.44,8.3
November,Gurgaon,Indowind Energy,340.56,8.3
April,Gurgaon,Tata Power Company Ltd.,928.95,8.3
January,Gurgaon,Reliance Energy,538.56,8.3
June,Gurgaon,Tata Power Company Ltd.,1798.5,8.3
June,Gurgaon,Indowind Energy,1158.3,8.3
November,Gurgaon,Reliance Energy,506.88,8.3
October,Gurgaon,Reliance Energy,547.8,8.3
August,Gurgaon,Indowind Energy,1496.55,8.3
June,Gurgaon,Adani Power Ltd.,2115.3,8.3
November,Gurgaon,Indowind Energy,506.88,8.3
May,Gurgaon,Tata Power Company Ltd.,1438.8,8.3
July,Gurgaon,Adani Power Ltd.,1392.6,8.3
January,Gurgaon,Indowind Energy,648.56,8.3
April,Gurgaon,Orient Green,633.6,8.3
April,Gurgaon,Orient Green,765.6,8.3
October,Gurgaon,Reliance Energy,485.1,8.3
May,Gurgaon,Orient Green,1537.8,8.3
September,Gurgaon,Reliance Energy,950.4,8.3
October,Gurgaon,Reliance Energy,625.9,8.3
August,Gurgaon,Tata Power Company Ltd.,985.05,8.3
July,Gurgaon,Orient Green,2841.3,8.3
January,Gurgaon,Reliance Energy,475.2,8.3
March,Gurgaon,Reliance Energy,699.6,8.3
March,Gurgaon,Orient Green,431.2,8.3
September,Gurgaon,Adani Power Ltd.,887.04,8.3
December,Gurgaon,Reliance Energy,187.44,8.3
